lyr,date,mean,sd,isNA,notNA
chlorophyll_2003.01.16,2003-01-16,NA,NA,4,0
chlorophyll_2003.02.16,2003-02-16,NA,NA,4,0
chlorophyll_2003.03.16,2003-03-16,NA,NA,4,0
chlorophyll_2003.04.16,2003-04-16,NA,NA,4,0
chlorophyll_2003.05.16,2003-05-16,NA,NA,4,0
chlorophyll_2003.06.16,2003-06-16,NA,NA,4,0
chlorophyll_2003.07.16,2003-07-16,NA,NA,4,0
chlorophyll_2003.08.16,2003-08-16,NA,NA,4,0
chlorophyll_2003.09.16,2003-09-16,NA,NA,4,0
chlorophyll_2003.10.16,2003-10-16,NA,NA,4,0
chlorophyll_2003.11.16,2003-11-16,NA,NA,4,0
chlorophyll_2003.12.16,2003-12-16,NA,NA,4,0
chlorophyll_2004.01.16,2004-01-16,NA,NA,4,0
chlorophyll_2004.02.16,2004-02-16,NA,NA,4,0
chlorophyll_2004.03.16,2004-03-16,NA,NA,4,0
chlorophyll_2004.04.16,2004-04-16,NA,NA,4,0
chlorophyll_2004.05.16,2004-05-16,NA,NA,4,0
chlorophyll_2004.06.16,2004-06-16,NA,NA,4,0
chlorophyll_2004.07.16,2004-07-16,NA,NA,4,0
chlorophyll_2004.08.16,2004-08-16,NA,NA,4,0
chlorophyll_2004.09.16,2004-09-16,NA,NA,4,0
chlorophyll_2004.10.16,2004-10-16,NA,NA,4,0
chlorophyll_2004.11.16,2004-11-16,NA,NA,4,0
chlorophyll_2004.12.16,2004-12-16,NA,NA,4,0
chlorophyll_2005.01.16,2005-01-16,NA,NA,4,0
chlorophyll_2005.02.16,2005-02-16,NA,NA,4,0
chlorophyll_2005.03.16,2005-03-16,NA,NA,4,0
chlorophyll_2005.04.16,2005-04-16,NA,NA,4,0
chlorophyll_2005.05.16,2005-05-16,NA,NA,4,0
chlorophyll_2005.06.16,2005-06-16,NA,NA,4,0
chlorophyll_2005.07.16,2005-07-16,NA,NA,4,0
chlorophyll_2005.08.16,2005-08-16,NA,NA,4,0
chlorophyll_2005.09.16,2005-09-16,NA,NA,4,0
chlorophyll_2005.10.16,2005-10-16,NA,NA,4,0
chlorophyll_2005.11.16,2005-11-16,NA,NA,4,0
chlorophyll_2005.12.16,2005-12-16,NA,NA,4,0
chlorophyll_2006.01.16,2006-01-16,NA,NA,4,0
chlorophyll_2006.02.16,2006-02-16,NA,NA,4,0
chlorophyll_2006.03.16,2006-03-16,NA,NA,4,0
chlorophyll_2006.04.16,2006-04-16,NA,NA,4,0
chlorophyll_2006.05.16,2006-05-16,NA,NA,4,0
chlorophyll_2006.06.16,2006-06-16,NA,NA,4,0
chlorophyll_2006.07.16,2006-07-16,NA,NA,4,0
chlorophyll_2006.08.16,2006-08-16,NA,NA,4,0
chlorophyll_2006.09.16,2006-09-16,NA,NA,4,0
chlorophyll_2006.10.16,2006-10-16,NA,NA,4,0
chlorophyll_2006.11.16,2006-11-16,NA,NA,4,0
chlorophyll_2006.12.16,2006-12-16,NA,NA,4,0
chlorophyll_2007.01.16,2007-01-16,NA,NA,4,0
chlorophyll_2007.02.16,2007-02-16,NA,NA,4,0
chlorophyll_2007.03.16,2007-03-16,NA,NA,4,0
chlorophyll_2007.04.16,2007-04-16,NA,NA,4,0
