lyr,date,mean,sd,isNA,notNA
CRW_SST_1985.04.01,1985-04-01,9.85810217196054,0.40709434261243055,72,137
CRW_SST_1985.04.02,1985-04-02,9.858832101752288,0.4235478057688149,72,137
CRW_SST_1985.04.03,1985-04-03,9.787664260307368,0.4186238896181872,72,137
CRW_SST_1985.04.04,1985-04-04,9.55978097010703,0.372849693178022,72,137
CRW_SST_1985.04.05,1985-04-05,9.445985418166558,0.31865631427764923,72,137
CRW_SST_1985.04.06,1985-04-06,9.587299270351435,0.21457382750406545,72,137
CRW_SST_1985.04.07,1985-04-07,10.050583915988897,0.2397509971227713,72,137
CRW_SST_1985.04.08,1985-04-08,10.259854066110876,0.2654019789170346,72,137
CRW_SST_1985.04.09,1985-04-09,10.382116791105618,0.25495223039004133,72,137
CRW_SST_1985.04.10,1985-04-10,10.472408705384192,0.2550130277557666,72,137
CRW_SST_1985.04.11,1985-04-11,10.531459850116368,0.2771799655029851,72,137
CRW_SST_1985.04.12,1985-04-12,10.5524817696453,0.33188804847021264,72,137
CRW_SST_1985.04.13,1985-04-13,10.578248198014975,0.36792722903857605,72,137
CRW_SST_1985.04.14,1985-04-14,10.42598543375948,0.3041053532419616,72,137
CRW_SST_1985.04.15,1985-04-15,10.53489054380542,0.3240668035976045,72,137
CRW_SST_1985.04.16,1985-04-16,10.506277390640149,0.3549648050105041,72,137
CRW_SST_1985.04.17,1985-04-17,10.559562056604094,0.5197862691185419,72,137
CRW_SST_1985.04.18,1985-04-18,10.500510960599804,0.6225319470222802,72,137
CRW_SST_1985.04.19,1985-04-19,10.551605844149623,0.6346551278612179,72,137
CRW_SST_1985.04.20,1985-04-20,10.071605835517827,0.5865743687347248,72,137
CRW_SST_1985.04.21,1985-04-21,10.661459839257011,0.4847202397100844,72,137
CRW_SST_1985.04.22,1985-04-22,10.671751850712909,0.4422417722566196,72,137
CRW_SST_1985.04.23,1985-04-23,10.418905125917307,0.2971671722534578,72,137
CRW_SST_1985.04.24,1985-04-24,10.169416072594858,0.2925968034072373,72,137
CRW_SST_1985.04.25,1985-04-25,9.637080241293802,0.27797099645295603,72,137
CRW_SST_1985.04.26,1985-04-26,9.769927017880182,0.4023213802584942,72,137
CRW_SST_1985.04.27,1985-04-27,9.30153285673935,0.38097766414749806,72,137
CRW_SST_1985.04.28,1985-04-28,9.065255534039796,0.3558793582609162,72,137
CRW_SST_1985.04.29,1985-04-29,9.53270071962454,0.4275348409431915,72,137
CRW_SST_1985.04.30,1985-04-30,9.764598554068238,0.4875237658357192,72,137
CRW_SST_1985.05.01,1985-05-01,9.778832122357224,0.4883571627712066,72,137
CRW_SST_1985.05.02,1985-05-02,10.434014633624225,0.4999079790558746,72,137
CRW_SST_1985.05.03,1985-05-03,10.3072993146242,0.43176023934019697,72,137
CRW_SST_1985.05.04,1985-05-04,10.237883150142476,0.4020269219402067,72,137
CRW_SST_1985.05.05,1985-05-05,9.512773687822106,0.2033495906935567,72,137
CRW_SST_1985.05.06,1985-05-06,9.601824816126022,0.30654916259031645,72,137
CRW_SST_1985.05.07,1985-05-07,9.78854013707516,0.3506559390844542,72,137
CRW_SST_1985.05.08,1985-05-08,9.945474422761125,0.3653261184263395,72,137
CRW_SST_1985.05.09,1985-05-09,10.123503671075303,0.3840277524444317,72,137
CRW_SST_1985.05.10,1985-05-10,10.3434306235209,0.4188647926723544,72,137
CRW_SST_1985.05.11,1985-05-11,10.481240871178844,0.4907384000148291,72,137
CRW_SST_1985.05.12,1985-05-12,10.320364945126276,0.5078464406771152,72,137
CRW_SST_1985.05.13,1985-05-13,10.074014601046152,0.4973007620900797,72,137
CRW_SST_1985.05.14,1985-05-14,10.011094914735668,0.49920331973478,72,137
CRW_SST_1985.05.15,1985-05-15,9.890656923725658,0.4410635764834503,72,137
CRW_SST_1985.05.16,1985-05-16,10.226861306350596,0.3798756290262131,72,137
CRW_SST_1985.05.17,1985-05-17,10.78715329274644,0.22917034057574076,72,137
CRW_SST_1985.05.18,1985-05-18,10.777737234630724,0.27375114372342496,72,137
CRW_SST_1985.05.19,1985-05-19,10.570656929573005,0.292225712401466,72,137
CRW_SST_1985.05.20,1985-05-20,10.578832139063923,0.41309465642622184,72,137
CRW_SST_1985.05.21,1985-05-21,10.5963503426879,0.4565695010498895,72,137
CRW_SST_1985.05.22,1985-05-22,10.701678791185364,0.4448224240425632,72,137
CRW_SST_1985.05.23,1985-05-23,10.973211685236354,0.5179682464716296,72,137
CRW_SST_1985.05.24,1985-05-24,10.67737229897158,0.619231353553822,72,137
CRW_SST_1985.05.25,1985-05-25,10.707664239145544,0.6868055674495471,72,137
CRW_SST_1985.05.26,1985-05-26,10.613576652359788,0.6846013728893177,72,137
CRW_SST_1985.05.27,1985-05-27,10.78810220565239,0.7628559986722749,72,137
CRW_SST_1985.05.28,1985-05-28,10.765985426241464,0.6070958407440451,72,137
CRW_SST_1985.05.29,1985-05-29,11.246277384514356,0.5677497240324063,72,137
CRW_SST_1985.05.30,1985-05-30,11.246861311641052,0.5382716188539232,72,137
CRW_SST_1985.05.31,1985-05-31,11.5772992781479,0.5444458999343879,72,137
CRW_SST_1985.06.01,1985-06-01,11.727518262654325,0.5508439877771573,72,137
CRW_SST_1985.06.02,1985-06-02,11.7754014634738,0.5612918376327306,72,137
CRW_SST_1985.06.03,1985-06-03,11.664963492511832,0.5965539813551946,72,137
CRW_SST_1985.06.04,1985-06-04,11.844963533164812,0.6448519456663205,72,137
CRW_SST_1985.06.05,1985-06-05,12.499416038067672,0.7422142469564188,72,137
CRW_SST_1985.06.06,1985-06-06,12.922992720221082,0.7147823069226142,72,137
CRW_SST_1985.06.07,1985-06-07,12.918686170647614,0.6837535151571129,72,137
CRW_SST_1985.06.08,1985-06-08,12.551532835855973,0.7495537032014613,72,137
CRW_SST_1985.06.09,1985-06-09,12.218540163805883,0.7552507970193699,72,137
CRW_SST_1985.06.10,1985-06-10,11.620875887627149,0.7142359903430487,72,137
CRW_SST_1985.06.11,1985-06-11,11.063576677419844,0.7034325181946613,72,137
CRW_SST_1985.06.12,1985-06-12,10.948832101195398,0.6885684774693825,72,137
CRW_SST_1985.06.13,1985-06-13,11.153065716263152,0.7981398800281461,72,137
CRW_SST_1985.06.14,1985-06-14,10.978759173929255,0.792205996949625,72,137
CRW_SST_1985.06.15,1985-06-15,10.40445254666962,0.6323007700308275,72,137
CRW_SST_1985.06.16,1985-06-16,10.629708039499548,0.5914003087977907,72,137
CRW_SST_1985.06.17,1985-06-17,10.736569341951911,0.5359302706724844,72,137
CRW_SST_1985.06.18,1985-06-18,11.129343088525925,0.49605385672383995,72,137
CRW_SST_1985.06.19,1985-06-19,11.53503649774259,0.4071387160308133,72,137
CRW_SST_1985.06.20,1985-06-20,11.729124110980626,0.39165836032588414,72,137
CRW_SST_1985.06.21,1985-06-21,11.961605844706517,0.31846185182176967,72,137
CRW_SST_1985.06.22,1985-06-22,12.256496366793222,0.26755317849243393,72,137
CRW_SST_1985.06.23,1985-06-23,12.48817517635596,0.29794201788895525,72,137
CRW_SST_1985.06.24,1985-06-24,12.402992721891753,0.2788035467586998,72,137
CRW_SST_1985.06.25,1985-06-25,12.249781023846923,0.3171459783210979,72,137
CRW_SST_1985.06.26,1985-06-26,12.430146001551272,0.3811109615990187,72,137
CRW_SST_1985.06.27,1985-06-27,12.369197086696207,0.4487287182818721,72,137
CRW_SST_1985.06.28,1985-06-28,12.401532897113883,0.5043981365679333,72,137
CRW_SST_1985.06.29,1985-06-29,11.9002919719167,0.5354573872565146,72,137
CRW_SST_1985.06.30,1985-06-30,11.874525543547024,0.5336830697986552,72,137
CRW_SST_1985.07.01,1985-07-01,12.370729898884347,0.5633468881459265,72,137
CRW_SST_1985.07.02,1985-07-02,12.62072993368998,0.6266268658864694,72,137
CRW_SST_1985.07.03,1985-07-03,12.788467149664886,0.6847583089675867,72,137
CRW_SST_1985.07.04,1985-07-04,12.44430658939111,0.78776101839604,72,137
CRW_SST_1985.07.05,1985-07-05,12.27518245947622,0.8381194997660455,72,137
CRW_SST_1985.07.06,1985-07-06,12.172116787764278,0.8846779229362298,72,137
CRW_SST_1985.07.07,1985-07-07,12.265036506374386,0.9271375248247168,72,137
CRW_SST_1985.07.08,1985-07-08,12.240656936255684,0.9342677003726227,72,137
CRW_SST_1985.07.09,1985-07-09,12.101897775691793,0.9393203517279294,72,137
CRW_SST_1985.07.10,1985-07-10,12.02080292249248,0.918764404641416,72,137
CRW_SST_1985.07.11,1985-07-11,11.833722629686342,0.8962126438863698,72,137
